application_date,zone,applications,awarded,percentage_awarded
2025-05-14,Eightmile Zone,1,1.0,100.0
2025-05-14,Stuart Zone,12,3.0,25.0
2025-05-14,Colchuck Zone,34,2.0,5.9
2025-05-14,Core Enchantment Zone,50,5.0,10.0
2025-05-14,Snow Zone,10,3.0,30.0
2025-05-15,Eightmile Zone,4,2.0,50.0
2025-05-15,Stuart Zone,9,3.0,33.3
2025-05-15,Colchuck Zone,11,2.0,18.2
2025-05-15,Core Enchantment Zone,37,5.0,13.5
2025-05-15,Snow Zone,6,3.0,50.0
2025-05-16,Eightmile Zone,6,2.0,33.3
2025-05-16,Stuart Zone,14,3.0,21.4
2025-05-16,Colchuck Zone,39,2.0,5.1
2025-05-16,Core Enchantment Zone,111,5.0,4.5
2025-05-16,Snow Zone,24,4.0,16.7
2025-05-17,Eightmile Zone,10,2.0,20.0
2025-05-17,Stuart Zone,25,3.0,12.0
2025-05-17,Colchuck Zone,42,2.0,4.8
2025-05-17,Core Enchantment Zone,124,5.0,4.0
2025-05-17,Snow Zone,15,4.0,26.7
2025-05-18,Eightmile Zone,2,2.0,100.0
2025-05-18,Stuart Zone,3,3.0,100.0
2025-05-18,Colchuck Zone,12,3.0,25.0
2025-05-18,Core Enchantment Zone,42,7.0,16.7
2025-05-18,Snow Zone,8,5.0,62.5
2025-05-19,Eightmile Zone,1,1.0,100.0
2025-05-19,Stuart Zone,5,4.0,80.0
2025-05-19,Colchuck Zone,15,3.0,20.0pyt
2025-05-19,Core Enchantment Zone,33,7.0,21.2
2025-05-19,Snow Zone,6,5.0,83.3
2025-05-20,Eightmile Zone,2,2.0,100.0
2025-05-20,Stuart Zone,4,3.0,75.0
2025-05-20,Colchuck Zone,9,2.0,22.2
2025-05-20,Core Enchantment Zone,30,3.0,10.0
2025-05-20,Snow Zone,4,3.0,75.0
2025-05-21,Eightmile Zone,3,2.0,66.7
2025-05-21,Stuart Zone,4,2.0,50.0
2025-05-21,Colchuck Zone,13,2.0,15.4
2025-05-21,Core Enchantment Zone,35,4.0,11.4
2025-05-21,Snow Zone,4,4.0,100.0
2025-05-22,Eightmile Zone,3,2.0,66.7
2025-05-22,Stuart Zone,14,3.0,21.4
2025-05-22,Colchuck Zone,18,2.0,11.1
2025-05-22,Core Enchantment Zone,55,4.0,7.3
2025-05-22,Snow Zone,11,4.0,36.4
2025-05-23,Eightmile Zone,7,2.0,28.6
2025-05-23,Stuart Zone,32,3.0,9.4
2025-05-23,Colchuck Zone,68,2.0,2.9
2025-05-23,Core Enchantment Zone,158,5.0,3.2
2025-05-23,Snow Zone,47,4.0,8.5
2025-05-24,Eightmile Zone,19,2.0,10.5
2025-05-24,Stuart Zone,44,3.0,6.8
2025-05-24,Colchuck Zone,83,2.0,2.4
2025-05-24,Core Enchantment Zone,191,4.0,2.1
2025-05-24,Snow Zone,28,4.0,14.3
2025-05-25,Eightmile Zone,2,2.0,100.0
2025-05-25,Stuart Zone,13,4.0,30.8
2025-05-25,Colchuck Zone,29,3.0,10.3
2025-05-25,Core Enchantment Zone,78,6.0,7.7
2025-05-25,Snow Zone,23,5.0,21.7
2025-05-26,Eightmile Zone,9,3.0,33.3
2025-05-26,Stuart Zone,8,4.0,50.0
2025-05-26,Colchuck Zone,11,3.0,27.3
2025-05-26,Core Enchantment Zone,43,6.0,14.0
2025-05-26,Snow Zone,6,4.0,66.7
2025-05-27,Eightmile Zone,2,2.0,100.0
2025-05-27,Stuart Zone,7,3.0,42.9
2025-05-27,Colchuck Zone,12,2.0,16.7
2025-05-27,Core Enchantment Zone,43,4.0,9.3
2025-05-27,Snow Zone,11,4.0,36.4
2025-05-28,Eightmile Zone,4,2.0,50.0
2025-05-28,Stuart Zone,5,3.0,60.0
2025-05-28,Colchuck Zone,17,2.0,11.8
2025-05-28,Core Enchantment Zone,49,5.0,10.2
2025-05-28,Snow Zone,13,4.0,30.8
2025-05-29,Eightmile Zone,7,2.0,28.6
2025-05-29,Stuart Zone,9,3.0,33.3
2025-05-29,Colchuck Zone,22,2.0,9.1
2025-05-29,Core Enchantment Zone,78,5.0,6.4
2025-05-29,Snow Zone,14,4.0,28.6
2025-05-30,Eightmile Zone,14,2.0,14.3
2025-05-30,Stuart Zone,22,3.0,13.6
2025-05-30,Colchuck Zone,85,2.0,2.4
2025-05-30,Core Enchantment Zone,166,4.0,2.4
2025-05-30,Snow Zone,47,4.0,8.5
2025-05-31,Eightmile Zone,12,2.0,16.7
2025-05-31,Stuart Zone,33,3.0,9.1
2025-05-31,Colchuck Zone,69,2.0,2.9
2025-05-31,Core Enchantment Zone,218,4.0,1.8
2025-05-31,Snow Zone,31,4.0,12.9
2025-06-01,Eightmile Zone,4,3.0,75.0
2025-06-01,Stuart Zone,15,4.0,26.7
2025-06-01,Colchuck Zone,21,3.0,14.3
2025-06-01,Core Enchantment Zone,81,7.0,8.6
2025-06-01,Snow Zone,13,5.0,38.5
2025-06-02,Eightmile Zone,6,3.0,50.0
2025-06-02,Stuart Zone,13,4.0,30.8
2025-06-02,Colchuck Zone,29,3.0,10.3
2025-06-02,Core Enchantment Zone,92,6.0,6.5
2025-06-02,Snow Zone,15,5.0,33.3
2025-06-03,Eightmile Zone,3,2.0,66.7
