application_date|zone|date_2|zone_2|date_3|zone_3|date_awarded|zone_awarded
|||||||
6/18/2023|Core_Enchantment_Zone|6/11/2023|Core_Enchantment_Zone|6/4/2023|Core_Enchantment_Zone|6/18/2023|Core_Enchantment_Zone
8/21/2023|Core_Enchantment_Zone|8/23/2023|Core_Enchantment_Zone|8/24/2023|Core_Enchantment_Zone||
6/9/2023|Core_Enchantment_Zone|7/21/2023|Colchuck_Zone|8/4/2023|Colchuck_Zone||
7/6/2023|Core_Enchantment_Zone|7/20/2023|Core_Enchantment_Zone|8/3/2023|Core_Enchantment_Zone||
9/9/2023|Core_Enchantment_Zone|8/22/2023|Core_Enchantment_Zone|8/23/2023|Eightmile||
9/13/2023|Core_Enchantment_Zone|9/20/2023|Core_Enchantment_Zone|9/28/2023|Core_Enchantment_Zone||
9/2/2023|Core_Enchantment_Zone|9/9/2023|Core_Enchantment_Zone|9/16/2023|Core_Enchantment_Zone||
7/16/2023|Snow_Zone|8/13/2023|Snow_Zone|8/27/2023|Snow_Zone||
8/1/2023|Colchuck_Zone|8/2/2023|Colchuck_Zone|7/31/2023|Snow_Zone||
8/6/2023|Core_Enchantment_Zone|8/11/2023|Core_Enchantment_Zone|8/20/2023|Core_Enchantment_Zone||
7/1/2023|Core_Enchantment_Zone|7/1/2023|Snow_Zone|7/29/2023|Core_Enchantment_Zone||
8/8/2023|Core_Enchantment_Zone|8/9/2023|Core_Enchantment_Zone|8/10/2023|Core_Enchantment_Zone||
7/21/2023|Colchuck_Zone||||||
7/22/2023|Stuart_Zone|9/9/2023|Colchuck_Zone|9/15/2023|Colchuck_Zone||
10/7/2023|Snow_Zone|9/30/2023|Stuart_Zone|9/23/2023|Colchuck_Zone||
8/4/2023|Core_Enchantment_Zone|6/1/2023|Core_Enchantment_Zone|9/1/2023|Colchuck_Zone||
6/1/2023|Core_Enchantment_Zone|6/20/2023|Colchuck_Zone|7/20/2023|Eightmile||
7/10/2023|Stuart_Zone|7/11/2023|Colchuck_Zone|7/12/2023|Stuart_Zone||
6/25/2023|Colchuck_Zone|7/2/2023|Colchuck_Zone|8/14/2023|Colchuck_Zone|6/25/2023|Colchuck_Zone
8/23/2023|Core_Enchantment_Zone|9/6/2023|Core_Enchantment_Zone|9/20/2023|Core_Enchantment_Zone||
10/1/2023|Colchuck_Zone|10/5/2023|Colchuck_Zone|10/7/2023|Colchuck_Zone||
9/5/2023|Core_Enchantment_Zone|9/18/2023|Core_Enchantment_Zone|9/19/2023|Core_Enchantment_Zone||
